filename,C1,C2,C3,C4,x0,gamma,ierr,message
lmc2_bc10-wd01\shell3\clumpy\lmc2_bc10-wd01_shell3_clumpy-s6.32456e+14-t0.2-m0.1-a1_global_lum.table.fits,-6.027143057242539,2.6446665028394936,0.5681772831965689,0.035562075288659886,4.5406341548599425,0.84421389535733,2,The relative error between two consecutive iterates is at most 0.000000
lmc2_bc10-wd01\shell3\clumpy\lmc2_bc10-wd01_shell3_clumpy-s6.32456e+14-t0.5-m0.1-a1_global_lum.table.fits,-4.324816348154272,2.1420690906613093,0.686660012245553,-0.06871570991793624,4.539672642896637,0.8362742817170444,5,Number of calls to function has reached maxfev = 100.
lmc2_bc10-wd01\shell3\clumpy\lmc2_bc10-wd01_shell3_clumpy-s6.32456e+14-t1.0-m0.1-a1_global_lum.table.fits,-1.7309487358309252,1.3404415433864474,0.6876857712336891,-0.10537069597488233,4.570121349627106,0.8319807123611541,5,Number of calls to function has reached maxfev = 100.
lmc2_bc10-wd01\shell3\clumpy\lmc2_bc10-wd01_shell3_clumpy-s6.32456e+14-t10.0-m0.1-a1_global_lum.table.fits,0.6300633639862055,0.26313313591305004,0.14151064338453304,0.0045331056363418125,4.554200305727447,0.9011748450975215,5,Number of calls to function has reached maxfev = 100.
lmc2_bc10-wd01\shell3\clumpy\lmc2_bc10-wd01_shell3_clumpy-s6.32456e+14-t2.2-m0.1-a1_global_lum.table.fits,0.21037109285263228,0.6593143851363017,0.5190048116197014,-0.06020870957754088,4.582277118023799,0.8475992500897005,2,The relative error between two consecutive iterates is at most 0.000000
lmc2_bc10-wd01\shell3\clumpy\lmc2_bc10-wd01_shell3_clumpy-s6.32456e+14-t3.2-m0.1-a1_global_lum.table.fits,0.676600715767355,0.44626968488543917,0.36384610661703165,-0.03258330958188816,4.5777062639823916,0.8642449450390175,2,The relative error between two consecutive iterates is at most 0.000000
lmc2_bc10-wd01\shell3\clumpy\lmc2_bc10-wd01_shell3_clumpy-s6.32456e+14-t4.6-m0.1-a1_global_lum.table.fits,0.806904845349845,0.327143945079201,0.2558666532912824,-0.014378645366206744,4.56000981996745,0.9145385535816901,2,The relative error between two consecutive iterates is at most 0.000000
lmc2_bc10-wd01\shell3\clumpy\lmc2_bc10-wd01_shell3_clumpy-s6.32456e+14-t6.8-m0.1-a1_global_lum.table.fits,0.7550628782577744,0.2720710656994965,0.1807575240772348,-0.0026376435103803372,4.540883163866623,0.9113595180387619,2,The relative error between two consecutive iterates is at most 0.000000
lmc2_bc10-wd01\shell3\homo\lmc2_bc10-wd01_shell3_homo-s6.32456e+14-t0.1-m0.1-a1_global_lum.table.fits,-7.762377521789444,3.1688016138880153,0.4953677810375869,0.21155880489182438,4.528625980805544,0.8409639047397641,2,The relative error between two consecutive iterates is at most 0.000000
lmc2_bc10-wd01\shell3\homo\lmc2_bc10-wd01_shell3_homo-s6.32456e+14-t0.2-m0.1-a1_global_lum.table.fits,-7.610848336590473,3.115591006018945,0.5276392166148945,0.20008113538242653,4.53114894285929,0.832297223373297,2,The relative error between two consecutive iterates is at most 0.000000
lmc2_bc10-wd01\shell3\homo\lmc2_bc10-wd01_shell3_homo-s6.32456e+14-t0.3-m0.1-a1_global_lum.table.fits,-7.2666648535232925,2.9960807081136522,0.5716626087031333,0.18636604797643447,4.534799437874137,0.8440772115684636,2,The relative error between two consecutive iterates is at most 0.000000
lmc2_bc10-wd01\shell3\homo\lmc2_bc10-wd01_shell3_homo-s6.32456e+14-t0.5-m0.1-a1_global_lum.table.fits,-6.960272109184012,2.900637281736288,0.6215538809508846,0.16999210589010222,4.539000284862976,0.8569299011384192,2,The relative error between two consecutive iterates is at most 0.000000
lmc2_bc10-wd01\shell3\homo\lmc2_bc10-wd01_shell3_homo-s6.32456e+14-t0.7-m0.1-a1_global_lum.table.fits,-6.618155418707388,2.812533969397586,0.7060316707559634,0.1582375706191488,4.543658997307028,0.8630520552762285,2,The relative error between two consecutive iterates is at most 0.000000
lmc2_bc10-wd01\shell3\homo\lmc2_bc10-wd01_shell3_homo-s6.32456e+14-t1.0-m0.1-a1_global_lum.table.fits,-6.100595431216936,2.6574555540860954,0.7508549973534019,0.14007750320973616,4.535915809026834,0.8411452084604047,5,Number of calls to function has reached maxfev = 100.
lmc2_bc10-wd01\shell3\homo\lmc2_bc10-wd01_shell3_homo-s6.32456e+14-t1.5-m0.1-a1_global_lum.table.fits,-5.471514470724925,2.477266735322262,0.8433650026591379,0.12617183581934324,4.546656629636908,0.8721452904951951,5,Number of calls to function has reached maxfev = 100.
lmc2_bc10-wd01\shell3\homo\lmc2_bc10-wd01_shell3_homo-s6.32456e+14-t10.0-m0.1-a1_global_lum.table.fits,-3.144488300142734,1.6835103915738072,0.5415890705892147,0.07465715095074134,4.538652640018396,0.8142565923663403,2,The relative error between two consecutive iterates is at most 0.000000
lmc2_bc10-wd01\shell3\homo\lmc2_bc10-wd01_shell3_homo-s6.32456e+14-t2.2-m0.1-a1_global_lum.table.fits,-4.828665347164898,2.2824343725447545,0.8872507776109669,0.10895384176378277,4.553985604029358,0.8871514167172225,5,Number of calls to function has reached maxfev = 100.
lmc2_bc10-wd01\shell3\homo\lmc2_bc10-wd01_shell3_homo-s6.32456e+14-t3.2-m0.1-a1_global_lum.table.fits,-4.081144639829995,2.0648299179407874,0.8694498076270893,0.11228365942545974,4.558855479327813,0.882836850685278,5,Number of calls to function has reached maxfev = 100.
lmc2_bc10-wd01\shell3\homo\lmc2_bc10-wd01_shell3_homo-s6.32456e+14-t4.6-m0.1-a1_global_lum.table.fits,-3.650285701517586,1.8966150266650925,0.842285344186482,0.11348722706844326,4.554372140599431,0.900339825318352,5,Number of calls to function has reached maxfev = 100.
lmc2_bc10-wd01\shell3\homo\lmc2_bc10-wd01_shell3_homo-s6.32456e+14-t6.8-m0.1-a1_global_lum.table.fits,-3.1822675629556616,1.7384110960449835,0.7253709093497114,0.09593394852263137,4.553685965697907,0.8919643206437307,5,Number of calls to function has reached maxfev = 100.
rv31_bc6-wd01\cloudy\clumpy\rv31_bc6-wd01_cloudy_clumpy-s6.32456e+14-t0.1-m0.1-a1_global_lum.table.fits,-0.38797776394244954,0.8473406146722585,2.114853227622143,0.08333984757356246,4.579154815079652,0.9526335520145454,2,The relative error between two consecutive iterates is at most 0.000000
